date,komoditas,price
2022-07-20,beras,11751.470588235294
2022-07-20,gula,15198.529411764706
2022-07-20,minyak,21707.352941176472
2022-07-20,telur,29320.58823529412
2022-07-21,beras,11754.411764705883
2022-07-21,gula,15182.35294117647
2022-07-21,minyak,21639.70588235294
2022-07-21,telur,29307.352941176472
2022-07-22,beras,11773.529411764706
2022-07-22,gula,15188.235294117647
2022-07-22,minyak,21555.882352941175
2022-07-22,telur,29363.235294117647
2022-07-25,beras,11770.588235294117
2022-07-25,gula,15188.235294117647
2022-07-25,minyak,21338.235294117647
2022-07-25,telur,29441.176470588234
2022-07-26,beras,11776.470588235294
2022-07-26,gula,15188.235294117647
2022-07-26,minyak,21280.882352941175
2022-07-26,telur,29466.176470588234
2022-07-27,beras,11772.058823529413
2022-07-27,gula,15185.29411764706
2022-07-27,minyak,21251.470588235294
2022-07-27,telur,29417.647058823528
2022-07-28,beras,11772.058823529413
2022-07-28,gula,15185.29411764706
2022-07-28,minyak,21194.117647058825
2022-07-28,telur,29429.41176470588
2022-07-29,beras,11780.882352941177
2022-07-29,gula,15192.64705882353
2022-07-29,minyak,21138.235294117647
2022-07-29,telur,29392.647058823528
2022-07-30,beras,11780.882352941177
2022-07-30,gula,15192.64705882353
2022-07-30,minyak,21138.235294117647
2022-07-30,telur,29392.647058823528
2022-07-31,beras,11780.882352941177
2022-07-31,gula,15192.64705882353
2022-07-31,minyak,21138.235294117647
2022-07-31,telur,29392.647058823528
2022-08-01,beras,11782.35294117647
2022-08-01,gula,15198.529411764706
2022-08-01,minyak,20904.41176470588
2022-08-01,telur,29364.70588235294
2022-08-02,beras,11788.235294117647
2022-08-02,gula,15188.235294117647
2022-08-02,minyak,20823.529411764706
2022-08-02,telur,29336.764705882353
2022-08-03,beras,11794.117647058823
2022-08-03,gula,15202.941176470587
2022-08-03,minyak,20758.823529411766
2022-08-03,telur,29330.882352941175
2022-08-04,beras,11798.529411764706
2022-08-04,gula,15202.941176470587
2022-08-04,minyak,20741.176470588234
2022-08-04,telur,29319.117647058825
2022-08-05,beras,11792.64705882353
2022-08-05,gula,15197.058823529413
2022-08-05,minyak,20695.58823529412
2022-08-05,telur,29289.70588235294
2022-08-06,beras,11792.64705882353
2022-08-06,gula,15197.058823529413
2022-08-06,minyak,20695.58823529412
2022-08-06,telur,29289.70588235294
2022-08-07,beras,11792.64705882353
2022-08-07,gula,15197.058823529413
2022-08-07,minyak,20695.58823529412
2022-08-07,telur,29289.70588235294
2022-08-08,beras,11807.35294117647
