date,komoditas,price,year,month,day,lag_1,lag_7,rolling_mean_7
2022-09-01,beras,11925.0,2022,9,1,11925.0,11900.0,11914.285714285714
2022-09-02,beras,11935.29411764706,2022,9,2,11925.0,11910.29411764706,11917.857142857143
2022-09-03,beras,11935.29411764706,2022,9,3,11935.29411764706,11910.29411764706,11921.42857142857
2022-09-04,beras,11935.29411764706,2022,9,4,11935.29411764706,11910.29411764706,11925.0
2022-09-05,beras,11951.470588235294,2022,9,5,11935.29411764706,11898.529411764706,11932.563025210084
2022-09-06,beras,11925.0,2022,9,6,11951.470588235294,11920.588235294117,11933.193277310926
2022-09-07,beras,11957.35294117647,2022,9,7,11925.0,11925.0,11937.815126050422
2022-09-08,beras,11963.235294117647,2022,9,8,11957.35294117647,11925.0,11943.277310924372
2022-09-09,beras,11976.470588235294,2022,9,9,11963.235294117647,11935.29411764706,11949.159663865546
2022-09-10,beras,11976.470588235294,2022,9,10,11976.470588235294,11935.29411764706,11955.042016806723
2022-09-11,beras,11976.470588235294,2022,9,11,11976.470588235294,11935.29411764706,11960.924369747898
2022-09-12,beras,11991.176470588236,2022,9,12,11976.470588235294,11951.470588235294,11966.596638655463
2022-09-13,beras,11989.70588235294,2022,9,13,11991.176470588236,11925.0,11975.840336134454
2022-09-14,beras,12035.29411764706,2022,9,14,11989.70588235294,11957.35294117647,11986.974789915967
2022-09-15,beras,12039.70588235294,2022,9,15,12035.29411764706,11963.235294117647,11997.899159663864
2022-09-16,beras,12045.588235294117,2022,9,16,12039.70588235294,11976.470588235294,12007.773109243699
2022-09-19,beras,12057.35294117647,2022,9,19,12045.588235294117,11976.470588235294,12019.327731092435
2022-09-20,beras,12035.29411764706,2022,9,20,12057.35294117647,11976.470588235294,12027.731092436976
2022-09-21,beras,12069.117647058823,2022,9,21,12035.29411764706,11991.176470588236,12038.865546218487
2022-09-22,beras,12083.823529411764,2022,9,22,12069.117647058823,11989.70588235294,12052.310924369749
2022-09-23,beras,12085.29411764706,2022,9,23,12083.823529411764,12035.29411764706,12059.453781512606
2022-09-26,beras,12097.058823529413,2022,9,26,12085.29411764706,12039.70588235294,12067.64705882353
2022-09-27,beras,12079.411764705883,2022,9,27,12097.058823529413,12045.588235294117,12072.478991596638
2022-09-28,beras,12107.35294117647,2022,9,28,12079.411764705883,12057.35294117647,12079.621848739496
2022-09-29,beras,12105.882352941177,2022,9,29,12107.35294117647,12035.29411764706,12089.70588235294
2022-09-30,beras,12114.70588235294,2022,9,30,12105.882352941177,12069.117647058823,12096.218487394957
2022-10-01,beras,12114.70588235294,2022,10,1,12114.70588235294,12083.823529411764,12100.630252100842
2022-10-02,beras,12114.70588235294,2022,10,2,12114.70588235294,12085.29411764706,12104.83193277311
2022-10-03,beras,12126.470588235294,2022,10,3,12114.70588235294,12097.058823529413,12109.033613445377
2022-10-04,beras,12135.29411764706,2022,10,4,12126.470588235294,12079.411764705883,12117.01680672269
2022-10-05,beras,12138.235294117647,2022,10,5,12135.29411764706,12107.35294117647,12121.42857142857
2022-10-06,beras,12145.588235294117,2022,10,6,12138.235294117647,12105.882352941177,12127.100840336134
2022-10-07,beras,12152.941176470587,2022,10,7,12145.588235294117,12114.70588235294,12132.563025210084
2022-10-08,beras,12152.941176470587,2022,10,8,12152.941176470587,12114.70588235294,12138.025210084032
2022-10-09,beras,12152.941176470587,2022,10,9,12152.941176470587,12114.70588235294,12143.487394957981
2022-10-10,beras,12155.882352941177,2022,10,10,12152.941176470587,12126.470588235294,12147.689075630251
2022-10-11,beras,12155.882352941177,2022,10,11,12155.882352941177,12135.29411764706,12150.630252100838
2022-10-12,beras,12154.411764705883,2022,10,12,12155.882352941177,12138.235294117647,12152.941176470587
2022-10-13,beras,12154.411764705883,2022,10,13,12154.411764705883,12145.588235294117,12154.20168067227
2022-10-14,beras,12155.882352941177,2022,10,14,12154.411764705883,12152.941176470587,12154.621848739496
2022-10-15,beras,12155.882352941177,2022,10,15,12155.882352941177,12152.941176470587,12155.042016806723
2022-10-17,beras,12158.823529411764,2022,10,17,12155.882352941177,12152.941176470587,12155.882352941177
2022-10-18,beras,12166.176470588236,2022,10,18,12158.823529411764,12155.882352941177,12157.352941176472
2022-10-19,beras,12167.64705882353,2022,10,19,12166.176470588236,12155.882352941177,12159.03361344538
2022-10-20,beras,12170.588235294117,2022,10,20,12167.64705882353,12154.411764705883,12161.344537815126
2022-10-21,beras,12172.058823529413,2022,10,21,12170.588235294117,12154.411764705883,12163.865546218487
2022-10-22,beras,12172.058823529413,2022,10,22,12172.058823529413,12155.882352941177,12166.176470588236
2022-10-24,beras,12175.0,2022,10,24,12172.058823529413,12155.882352941177,12168.90756302521
2022-10-25,beras,12176.470588235294,2022,10,25,12175.0,12158.823529411764,12171.42857142857
2022-10-26,beras,12179.411764705883,2022,10,26,12176.470588235294,12166.176470588236,12173.319327731093
2022-10-27,beras,12189.70588235294,2022,10,27,12179.411764705883,12167.64705882353,12176.470588235296
2022-10-28,beras,12191.176470588236,2022,10,28,12189.70588235294,12170.588235294117,12179.411764705883
2022-10-29,beras,12191.176470588236,2022,10,29,12191.176470588236,12172.058823529413,12182.142857142857
2022-10-30,beras,12191.176470588236,2022,10,30,12191.176470588236,12172.058823529413,12184.873949579833
2022-10-31,beras,12201.470588235294,2022,10,31,12191.176470588236,12175.0,12188.655462184874
2022-11-01,beras,12195.588235294117,2022,11,1,12201.470588235294,12176.470588235294,12191.38655462185
2022-11-02,beras,12197.058823529413,2022,11,2,12195.588235294117,12179.411764705883,12193.90756302521
2022-11-03,beras,12198.529411764706,2022,11,3,12197.058823529413,12189.70588235294,12195.16806722689
2022-11-04,beras,12201.470588235294,2022,11,4,12198.529411764706,12191.176470588236,12196.638655462186
2022-11-05,beras,12201.470588235294,2022,11,5,12201.470588235294,12191.176470588236,12198.109243697478
2022-11-06,beras,12201.470588235294,2022,11,6,12201.470588235294,12191.176470588236,12199.579831932773
2022-11-07,beras,12201.470588235294,2022,11,7,12201.470588235294,12201.470588235294,12199.579831932773
2022-11-08,beras,12204.411764705883,2022,11,8,12201.470588235294,12195.588235294117,12200.840336134454
2022-11-09,beras,12210.29411764706,2022,11,9,12204.411764705883,12197.058823529413,12202.731092436976
2022-11-10,beras,12214.70588235294,2022,11,10,12210.29411764706,12198.529411764706,12205.042016806723
2022-11-11,beras,12210.29411764706,2022,11,11,12214.70588235294,12201.470588235294,12206.302521008403
2022-11-12,beras,12210.29411764706,2022,11,12,12210.29411764706,12201.470588235294,12207.563025210084
2022-11-13,beras,12210.29411764706,2022,11,13,12210.29411764706,12201.470588235294,12208.823529411764
2022-11-14,beras,12217.64705882353,2022,11,14,12210.29411764706,12201.470588235294,12211.134453781513
2022-11-15,beras,12222.058823529413,2022,11,15,12217.64705882353,12204.411764705883,12213.655462184874
2022-11-16,beras,12229.411764705883,2022,11,16,12222.058823529413,12210.29411764706,12216.386554621848
2022-11-17,beras,12241.176470588236,2022,11,17,12229.411764705883,12214.70588235294,12220.16806722689
2022-11-18,beras,12248.529411764706,2022,11,18,12241.176470588236,12210.29411764706,12225.630252100838
2022-11-19,beras,12248.529411764706,2022,11,19,12248.529411764706,12210.29411764706,12231.092436974792
2022-11-20,beras,12248.529411764706,2022,11,20,12248.529411764706,12210.29411764706,12236.55462184874
2022-11-21,beras,12260.29411764706,2022,11,21,12248.529411764706,12217.64705882353,12242.64705882353
2022-11-22,beras,12264.70588235294,2022,11,22,12260.29411764706,12222.058823529413,12248.73949579832
